微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Na5hAfSHL,库克船长的出生地打卡，现在成了一个公园，盖了一个博物馆，很多约克口音的小孩在门前嬉戏，喷泉形状的建筑是他出生老屋所在地，原屋已经不在了，库克船长就是从这里16岁去惠特比当运煤学徒，最后一步步靠过硬地图测绘技术和航海技术三下太平洋的，他爸妈住的那个老屋被从约克搬去了墨尔本，他不一定住过，因为库克船长一般不出海的时候其实住伦敦 [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/6cbca238gy1hfye5u4i6xj22c0340b2c.jpg,http://ww4.sinaimg.cn/large/6cbca238gy1hfye68hb33j23z45you16.jpg,http://ww3.sinaimg.cn/large/6cbca238gy1hfye6h0ubtj25yo3z44qz.jpg,http://ww4.sinaimg.cn/large/6cbca238gy1hfye5qmomij20v91jb4qp.jpg,http://ww2.sinaimg.cn/large/6cbca238gy1hfye6xdbizj25yo3z4e8i.jpg,http://ww1.sinaimg.cn/large/6cbca238gy1hfye7cw0grj25yo3z4x76.jpg",无,无,2023-07-16 07:51,iPhone 13 Pro Max,10,0,0
N9VgKySc1,【英国Offer】学生：嗨咯，想要投稿问问看择校问题，一个是南安的fashion marketing and branding，另一个是kcl的digital asset &media management，现在的情况是南安的一切都弄好了，签证也下来了。刚收到kcl的offer，纠结要不要去。专业上更喜欢南安的，但是kcl的排名和伦敦都很香。而且去kcl的话语言需要再考，一切都也要重新准备，整体花销也会比南安高很多，在想到底值不值得？ 回国就业方向是in house pr本科民本双非二本，均分91，gap一年，有知名4a工作经历 http://t.cn/A60yhRIF ,,无,无,无,2023-07-15 06:22,iPhone 13 Pro Max,158,0,0
N9M3EB5cr,"【KCL申请】学生：打扰了，麻烦帮我问下kcl的llm换uncon时候，已经提供了毕业证和学位证英文翻译件，翻译件是catti翻译员签字的，也提供了catti证书编号，收到站内信“Please also provide a translation of the degree and graduation certificates which has been stamped and signed by the translator. ”和“Please note, we require the translations to be physically stamped and signed by the translator. ”，这两封站内信是什么意思呀？不太清楚还要盖什么章 ",,无,无,无,2023-07-14 06:55,iPhone 13 Pro Max,1,0,1
N9BBsv4rO,【24fall英国申请】学生：大家好，投稿，24fall，中游985商科，91/100，主申LSE和IC、UCL，打算LBS和剑桥（还在犹豫）买个彩票，雅思7.5（8.5 8 6.5 6.5），还有必要再刷吗？考过两次，第二次听力没发挥好只有7，个人其实口语准备挺久，但是发挥不太好，主要是家里觉得再考一次费用有点贵看网上有人说说语言过了就行，想问问大家意见。谢谢大家！ ,,无,无,无,2023-07-13 04:18,微博网页版,21,1,12
N9Bqg4FOw,【澳洲申请】墨尔本大学关于不再接受在线语言成绩的信息，包括TOEFL iBT Home Edition和PTE online。 从即日起，墨尔本大学将不再接受任何在线英语考试来满足大学的英语语言要求。 在澳大利亚东部标准时间(AEST) 2023年7月14日(周五)晚上11:55之前提交申请并完成托福网考或PTE学术在线英语考试的申请人，其成绩仍将被考虑。 ,,无,无,无,2023-07-13 03:50,微博网页版,2,0,0
N9yhBnbiD,"【英硕offer选择】学生：大家好，我目前收到了爱丁堡大学材料化学（Msc）和格拉斯哥的工业催化（Mres)的offer, 之后有读博的打算（但是不是100%确定），目前本人在纠结去哪一个。格拉的研究硕更好申博，但是排名相对较低，而且授课课程少相对轻松。爱大知名度高，但科研课时少，大部分时间都是上课会很忙很累。我想听听大家的意见，有哪些考虑不周的地方，选择爱大，为了名气，舍弃可能存在的更好发展的机会到底对不对？ ",,无,无,无,2023-07-12 19:51,iPhone 13 Pro Max,1,1,4
N9lCMAXSk,【英国Offer】学生：大家好，想发个投票顺便报个offer～现在选校很纠结想听听大家的建议！ 爱丁堡的ir（international relations）和KCL的damm（digital asset and media management刚刚收到） 纠结的点在于爱丁堡排名高不少，而且安全便宜，但是ir是本专业申来保底的，未来也不好找工作。KCL的damm虽然就业面广，但是KCL的排名这几年一直下降担心掉出前50了，不知道该怎么选了！ 顺便蹲蹲这两个专业的就读体验，之前一直看到爱丁堡是自学堡，不知道这两个专业的课程体验和给分如何！谢谢大家！ http://t.cn/A60zj6P9 ,,无,无,无,2023-07-11 11:37,iPhone 13 Pro Max,264,0,8
N9lBo7Yin,【英国选Offer】学生：大家好，想咨询选校问题目前有格拉商学院fe和布大经济学院ef纠结的点：1.qs布大更高，感觉位次划分上和格拉还是有区别的，但具体学院排名/评价如何呢？感觉亚当斯密商学院还不错，布大整体上偏工科2.沉没成本：格拉目前已定房、留位费和递签；布才收到，租房都还没开始看3.就读体验如何呢？看到说布毕业会难一些。4.毕业大概率回国，回国是不是50-100差别不大，布25年冲50的可能性感觉也不大。暂不考虑落户问题，但大概率在北上广先工作谢谢！ ,,无,无,无,2023-07-11 11:34,iPhone 13 Pro Max,4,0,7
N9kh8turt,【24Fall会计选校】bg：中外合作办学3+1双学位 知名双非财经均分84+不知名澳洲均分78；四大审计3年全职工作经验，丰富A股美股港股审计经历，雅思6.5已过期正在考，无G。想主申HKU 会计+BA，想问问大家:1. 求其他会计+BA选校建议（不考虑澳洲，现在就看到UIUC MSA还适合）；2. HKU可免海外学位的语言成绩，是否还需要交雅思成绩，谢谢大家！ ,,无,无,无,2023-07-11 08:11,iPhone 13 Pro Max,6,1,5
N9fbJ9Lag,【英国澳洲Offer】学生：你好，想投个稿，可以麻烦您帮我发个投票吗，有点纠结1新南威尔士统计学（statistic）和2埃克塞特应用数据科学与统计和3卡迪夫数据科学与分析和4利物浦商业分析与大数据科学。新南威尔士确实排名高，但回来认可度不知道怎么样，选英国又怕被卡排名，我本科读的统计学，未来就业想从事数据分析、统计相关方向。就业回国，首先考虑国企和外企。主要就是广东、山东、江浙一带。麻烦大家啦 [心动超崽][心动超崽] http://t.cn/A607gwMj ,,无,无,无,2023-07-10 19:14,iPhone 13 Pro Max,182,0,47
N96YqwNLk,【英国澳洲Offer】学生：你好，想投个稿，可以麻烦您帮我发个投票吗，有点纠结爱丁堡的金融科技与政策(finance technology and policy)和墨尔本的精算（master of commerce (actuarial science)）专业该去读哪个，因为我本科读的精算，未来就业也想从事精算方向，但不太知道墨尔本精算认可度怎么样，爱丁堡的留位费还交了，房也租了，所以比较纠结，未来回国还是润还没决定好，目前偏向于回国。麻烦您啦 http://t.cn/A60hWquG ,,无,无,无,2023-07-09 22:19,微博网页版,344,0,0
N8XxVCsmU,"【英国澳洲Offer】学生：您好，想请大家帮忙一下选校～Offer：爱丁堡：Ecological Economics华威：International Trade, Strategy and Operations （不在商学院悉尼：MOC杜伦：金融前情是华威杜伦留位费已交，准备决定去华威，本周爱丁堡刚下，非常纠结。如果从对就业帮助，回国认可度，和课程体验上来说，更推荐哪一个嘞如果能有学长学姐评论说一下未来就业方向的话，十分感谢！bg：中外二等一（另外爱丁堡con了更高的雅思，想求助一下大家有没有能快速提分听力和写作的好方法 谢谢大家 http://t.cn/A60PcT6J ",,无,无,无,2023-07-08 22:19,微博网页版,282,1,5
N8XwDkBfZ,【英国Offer】学生：大家好，申请季正式结束。非法本，医学专业，跨专业申请到卡迪夫的知识产权LLM和纽卡的国际商法LLM的OFFER，由于卡迪夫的OFFER来得比较早，目前已经交过押金，但还没过14天冷静期，可以无理由退款。如果没有这些前提，我首选的应该是纽卡，主要原因是纽卡的国际商法也包括了知识产权法。但是只学知识产权法，就业面和机会相对要少一点？毕业后想留英或者留欧工作，想听听大家意见选择哪个OFFER更好？或者其他建设性的意见？感谢！ http://t.cn/A60PcKLX ,,无,无,无,2023-07-08 22:16,微博网页版,90,2,20
N8MHDx55X,【英国Offer】学生：大家好，有个问题想听听大家的建议！我是商科经济金融bg目前有布里斯托的climate change和ual的media，communications and social practice，就业方向暂时还没有明确的倾向，打算先在uk或者欧洲工作几年，想知道ual的传媒在uk或回国就业往咨询和mkt方向认可度，以及转行的话会不会卡简历因为不参与综排；布里斯托的专业出来走esg方向的认可度，感谢！！ http://t.cn/A6ps1ylc ,,无,无,无,2023-07-07 18:43,微博网页版,131,1,15
N8MFgr8RJ,【爱丁堡Offer】学生：求选校，谢谢大家！Offer：爱丁堡sds(statistics with data science)爱丁堡atfc(advanced technology for financial computing)这两个应该怎么选呀？是想要以求职为导向，不考虑读博。也想了解一下这两个专业就读的体验。bg是中外，金数，一等，雅思7.5/6.5 http://t.cn/A6ps3eC6 ,,无,无,无,2023-07-07 18:37,微博网页版,123,1,1
N8Mc8DJsR,【英国行前】手把手教你入境在飞机降落之前：在飞机上，你会收到入境申请表。如果没有收到，你可以跟乘务人员要。这些入境材料可以拿个文件袋放一起，方便携带。入境可能需要准备的材料：1. 有效的护照和签证2. 机票信息3. 学校Offer和CAS（Confirmation of Acceptance for Studies）4. 学费缴纳凭证5. 资金证明文件扫描版6. 毕业证和学位证的原件和翻译件的扫描版7. 语言成绩单的原件和翻译件的扫描版8. 肺结核检测报告原件9. 你在英国租的房子或宿舍租赁证明降落后：请按照人流和指示牌的指引，先找到Arrival（到达区），然后找到All Other Passport（其他护照），接着看到UK board（英国通道）后，走进Non-Europe通道通过海关。过海关时，你需要以下过关材料以备检查：1. 护照和签注2. 登机牌3. CAS工作人员将会检查你的护照并采集指纹，同时也可能会问一些问题，例如你为什么来英国，住哪里，待多久，学什么之类的。取行李：找到Baggage Reclaim（行李提取处），根据航班号和电子屏幕上的信息找到相应的行李转盘，并提前准备好推行李的小车，然后取回你的行李。请注意，如果你行李丢失了，请务必保留机票和行李证明，并前往丢失登记处登记。在行李取出后，可能会进行海关检查。离开机场后：如果你在伦敦，可以使用Uber或其它手机软件打车前往目的地，或者乘坐地铁。如果你不在伦敦，可以打车或提前预约学校的接机服务。 ,,无,无,无,2023-07-07 17:25,微博网页版,80,61,3
N8M8pkXKu,【24Fall申请】学生：大家好，我是24fall的diy选手。最近听到一种说法是：如果英国G5的热门专业给双非学生下con offer并且con了很高的成绩，例如92-95，是不是代表就算学生最终满足了这个成绩条件也很难换到uncon？本人双非的文产89+，想冲刺一下这些热门学校的传媒、莽一下冷门专业捡漏之类的，如果刮彩票成功，给的con太高，又担心达不到（感觉大四结束顶多卷到90出头），或者是最终达到了又不给换uncon？问了一些中介，说确实有满足con的成绩要求结果没换下uncon的？？？不止G5，其他英国学校也有？请问这种说法是对的嘛？如果是对的，我是不是干脆放弃申请G5节省申请费比较好0.0？或者看下香港地区？感觉hk的con offer给了后就不会撤回了T T 咨询下评论区22/23fall的双非学长学姐有没有碰到过这种情况？谢谢！ ,,无,无,无,2023-07-07 17:16,微博网页版,16,0,13
N8LC0gRe7,#教授称有花百万留学回来月薪5000#，#教授称出国留学正在退潮# 英国硕士读2年，花费百万，不知道是读了二硕还是读了硕士预科。留学红利消失在十几年就已经是媒体热衷讨论的话题了，文案都一样，就是花费百万，工资几K。可是留学的本质就是父母给孩子一个机会去上个学，换个完全不同的环境，多点机会发展，如果哪天留学生落户政策脱钩，企业招聘留学生通道脱钩，大家又不傻，都是用脚投票的。不过自媒体多宣传下留学退潮，国外学校都很水也挺好的，让那些在犹豫出不出国的，可以坚定退出留学这条赛道，去别的赛道发展。把国外学校的Offer留给关注我的申请者就好了，真的，留学的学校都很水的，劝退。 http://t.cn/A6psHMRi ,,无,无,无,2023-07-07 15:56,微博视频号,152,4,7
N8KxRqt0Q,【华威哲学院就读体验】学生：Cook叔好，想投一则稿：求问有Philosophy and art MA的在读或毕业同学吗[苦涩]想问问这个专业的就读体验全网基本没找到任何相关信息看项目介绍是可以任选华威文学系、哲学系、电影电视系和艺术史系的课，或者这些专业的朋友们可以谈谈也就读体验吗？拜托了，这对我很重要 ,,无,无,无,2023-07-07 13:13,微博网页版,4,0,1
N8Kxiexd8,【澳洲Offer】学生：叔！想求帮投票问新南的moc ba和澳国立的fm回国就业到底该选哪个。（没考虑猫本和悉尼是想一年读完回国，悉尼和猫本没有合适的一年制专业～）之前国内认可度都说澳三更好（澳国立 猫本 悉尼)，想问问这次QS会不会影响澳国立在国内的就业认可度，以及新南在国内的就业认可度会取代国立吗？（担心anu专心做科研排名会继续掉）仅从回国就业认可度角度看 认为unsw和anu哪个稍微强势一些呢？（本科商科，想回北京上海就业，意向互联网大厂/外企mkt类的） http://t.cn/A6ps6Vtt ,,无,无,无,2023-07-07 13:12,微博网页版,154,0,1
N8Kvo2NPD,【求问爱丁堡大学语言班后转专业】学生：大家好，我目前有一个专业拿到Offer并且报名了语言班，所以办了CAS，还有另一个专业在Waiting List。更喜欢现在在等待的专业微原本想等到出结果后，如果有Offer和学校换专业。但今晚收到了学校关于撤销申请的邮件。两个专业是不同学院的，但语言班应该是归属于同一个，求问有没有挽救方法让学校继续考虑我的申请呢?谢谢大家！是Film and exhibition/Modern and Contemporary Art ,,无,无,无,2023-07-07 13:07,微博网页版,1,0,4
N8DE3u6pZ,【英国世界Top50的Marketing专业有多难申】这期主要想讲下英国G5和王爱曼的Marketing专业。对于大陆本科，有些专业就是纯申请刺客，因为招生大头是海本和合作办学学生源，留给陆本的空间并不多，各位在定校的时候，除非你要交逐梦费，不然尽量避免白送。尤其是语言类想转MKT的朋友，对这个梯队的MKT专业预警。第一个是爱丁堡大学的正牌MSc Marketing，这个专业四五年前还没有现在这么夸张，以前的光景，理论来说211或985有88分，本身学市场营销的，还是发Offer的。但这个专业22年9月入学的申请，总共有2022个小伙伴捐了申请费，一个人60镑算的话，这个专业的admissions是收到了12个W的英国马内来看大家材料的，结果这2022个小伙伴，有1910个当了大冤种，因为这专业2K的申请量，学院总共就发了112个Offer，这112个人里面具体到中国大陆的学生，是25个天选之人，那有多少中国大陆的学生申了爱丁堡MKT这个专业呢？学校公布的数据是1188个，等于中国大陆学生的录取率是2%，不说千里挑一那么夸张，爱丁堡的MKT对大陆本科，百里挑一是陈述客观事实而已，所以你如果看到一个朋友985，90分，MKT本科，雅思7+，各种软背景点满，被爱丁堡MKT拒了，不用惊讶，这位朋友BG大概率会去比爱丁堡大学更好的学校，但爱丁堡MKT只能对ta说：I am so sorry~额外注意下，爱丁堡大学商院的MKT with BA专业，大陆本科申请情况和纯MKT差不多的。第二个专业是曼大商院的正牌MSc Marketing。曼大作为深耕中国多年，深谙陆本招生之道，有难进的学院，也有平替学院，大陆院校清单玩的飞起，不像爱丁堡大学这个耿直boy，曼大申请量具体有多少？曼大早就不发了，原因回复的很直白，说的是Commercial interests。但曼大商院官网还是给了个大概值，以2022年9月入学这波为例，申请者总共是2528个，比耿直boy的MKT还多一丢丢，那最后拿到Offer实际入学的有多少人呢？官网写的是96个，我就当一半人拿了Offer没去吧，有200个天选之人在之前拿到了Offer，那曼大这个专业录取率大概是不到8%，那有多少大陆本科呢？我不知道，我只知道曼大发中介的大陆院校清单，申曼大纯MKT专业，清华大学需要90分，当然我就当曼大这是写着玩的吧，但清单内一众985都要90分，曼大只差把我商院MKT不要大陆本科写到脸上了。当然我不是说这个专业学的内容不好，我只是说申24fall的同学，如果你是大陆本科，这个专业没必要送申请费。第三个专业是KCL的International Marketing专业，KCL这个MKT，我是看着门槛对大陆本科逐年友好起来的，尽管还是很难。KCL有两个IM，这个比International Management门槛柔和一点。KCL这个正牌MKT，总的录取率可以去到21%，陆本现在的录取率也可以占到14%的样子，具体来说，如果你是985或211，商科专业，有个87-90分，还是可以申的，雅思不影响KCL录取，这个专业以前更难申。然后KCL还有新点的Digital Marketing，录取率其实比IM还低一些，22年9月入学的，陆本的录取率大概是9%的样子。第四个专业是LSE的Msc Marketing，这个专业申请量都没有爱曼MKT这对卧龙凤雏高，可能是有些朋友看学校名字直接选择放弃了，LSE这个专业22年9月入学的，也就924个小伙伴投递了，然后146个幸运儿拿到了Offer，其中有61个是中国籍的学生。LSE的门槛和质量各位都懂，无需多言，在就业市场，不是一所需要世界排名来证明自己的英国学校。第五个是帝国理工学院商学院的MSc Strategic Marketing，问的人太多，商院也不发录取数据了，但这个专业以前的录取门槛大概是就是985或211，有87-90分的选手，语言类本科也可以转专业录，后面IC商院招生流程越玩越多，报Offer的朋友也越来越少。反正你喜欢就申，不是很有兴趣可以省申请费。剩下的UCL，牛剑是没有真正MKT专业的，我说这么多不是说这些专业学的内容不好，都是好专业，我只是忍这些专业很久了，数据也不是我编的，都是学校自己公布的录取数据，我只是提醒下各位大陆本科的申请者，这个梯队的MKT，能避免送申请费就避免下，纯MKT英国这些不太行的话，可以跨地区看看，如果软硬背景都不错，可以看看港三的MKT，西边不亮东边亮，就啰嗦到这里啦。 ,,无,无,无,2023-07-06 19:39,微博网页版,114,34,10
N8BkBnIcp,[【澳洲英国Offer】学生：你好！可以麻烦大家帮忙选一下校吗？本来已经准备好去悉尼大学读Master of commerce (extension)了，但是最近又收到了一直没有动静的kcl Education management的offer，个人来说很喜欢kcl，学制短地理位置好花费低，但家人觉得悉尼大学的专业回国就业更好，恳请大家给我一些择校建议 ,,无,无,无,2023-07-06 13:46,微博网页版,2,0,2
N8rebaDNQ,新加坡南洋理工大学2024开放申请通知NTU以下专业已于2023.7.1开放2024年1月入学申请Nanyang Centre for Public Administration（2023.9.30截止）Master of Public Administration (English)Master of Science in Managerial Economics (English)Master of Social Sciences (China and Global Governance)School of Electrical and Electronic Engineering（2023.9.30截止）MSc (Communications Engineering)MSc (Computer Control & Automation)MSc (Electronics)MSc (Power Engineering)MSc (Signal Processing)School of Materials Science and Engineering（2023.9.30截止）Master of Science in Materials Science and EngineeringSchool of Mechanical and Aerospace Engineering（2023.8.31截止）MSc Mechanical EngineeringMSc Project Management ,,无,无,无,2023-07-05 12:03,微博网页版,3,0,0
N8lPOyHER,【因英港新申请】学生：叔，投个稿问问①核心课正好80②非核心课70+要不要紧，英港新介意70+的门数吗，都是非核心课，重修性价比不高🥺另外就是，英港新看不看课程匹配度呀？跨学科专业的，经济学方面课程相对来说没有另外方面的分数高，重修又比较费劲 提分幅度也不是很大，所以来问问[苦涩]提前谢谢叔和回答的朋友 原图 ,,https://wx4.sinaimg.cn/large/6cbca238gy1hfl8gglw4yj20q70wu7bu.jpg,无,无,2023-07-04 22:19,iPhone 13 Pro Max,6,0,4
N8lOMrsgH,"【英国申请】 学生：叔 想蹲一个就读体验UCL MSc Social and Cultural Anthropology; UCL MSc Environment, Politics and Society； LSE Social Anthrology目前三个都录了，个人倾向于UCL的EPS，但另两专业的课程/导师设置和自己的研究方向也还算契合（EPS契合度最高）感觉如果分类成选校贴 会单纯吵“女神”校或qs排名 所以比较希望多一些真实就读体验能参考 谢谢！ ",,无,无,无,2023-07-04 22:16,iPhone 13 Pro Max,1,0,2
N8b1yl4PY,【英国Offer】学生：大家好，想请教下选校建议。       BG：双非一本制药专业。                          在纠结华威 的Medical Biotechnology and Business Management和格拉的 Public Health，专业更喜欢格拉的公卫，华威在国内名气大一些，从就业角度来看的话选哪个呢 http://t.cn/A6pgoCzF ,,无,无,无,2023-07-03 18:48,微博网页版,95,0,3
N8aXK0Vyg,【香港Offer】学生：Cook叔你好，想求个投票，终极选offer建议，非常感谢！1. 香港大学 MACC Creative Communication2. 香港中文大学 MSSST Sustainable TourismBG：澳门本科 旅游管理纠结的原因：CUHK和本科专业高度相关，打算继续申请PhD，希望之后进入高校工作HKU的专业个人比较感兴趣，但是完全没有涉猎过的领域，不知道毕业后就业如何 http://t.cn/A6pgSAAv ,,无,无,无,2023-07-03 18:38,微博网页版,116,0,1
N88TFwX1n,【墨尔本申请】学生：Cook叔好，我又来请求发微博投稿了，感谢大家！！我是自己diy申请了墨大it（master，23S2），5.31拿到了con offer。现在需要通过学信网才能换墨尔本大学uncon。 我这两天才拿到毕业证、学位证和完整的大学成绩单，刚在学信网提交了成绩验证的申请，出结果时间待定（预估起码10天左右？）。此外，应届毕业生的学位认证目前学信网绑定不了（学校说需要60天后），刚提交了学位人工认证也不确定是否能通过。 offer上写的正式开学时间是2023.7.24（也就是20天后），而且似乎7.24前一周还有orientation。目前我因为双证发得迟和学信网原因还没换到uncon，后续还有体检、签证等流程，想请教大家我有机会顺利赶上7.24墨大开学吗？ （ps：墨大it不允许defer入学，我这样的情况如果没法在2023.7.24前入学的话是不是就直接凉了呀？ ,,无,无,无,2023-07-03 13:23,微博网页版,2,1,3
N7ZifmE5M,【英国Offer】学生：大家好，23fall想问问择校Offer：布里斯托 management MKT华威 Creative Media and Enterprises利兹 Advertising and Marketing本来都定下来去华子了 24qs一出它又掉了 布布和栗子的排名有很好 今年🌰真赢麻了😿 谢谢 拜托啦bg是 985 英语专业 均分85 http://t.cn/A6prY8Gq ,,无,无,无,2023-07-02 12:56,微博网页版,332,0,6
N7Zhi1ooS,"【学生投稿】学生：大家好，想寻求选校建议&就读体验+留英就业情况🙋♀️英本金融, 目前在ic international health management和lse health and international development中不确定. 希望毕业后可以留英尝试咨询or投行工作. 感觉ic ihm虽然在商院但课程设置比较泛, 看icbs网评也比较不一. lse在发展学院, 专业非商科, 比较偏政策类, 但似乎lse在投行&咨询公司声名稍微高于icbs. 想听一下大家从留英就业角度的建议, 另求学长学姐就读体验&本地就业状况 谢谢！ ",,无,无,无,2023-07-02 12:53,微博网页版,6,0,6
N7R08CSiT,【专业选择】学生：大家好，想问问大家本科af转f会不会对申研有帮助感觉finance会更偏量化，是否会在申研时有优势呀？我现在大一升大二，大一均分还行，统计和会计还可以，fin的课也还可以，但是econ大题感觉一般，分比其他科目都低，但也有70，适不适合转f呀 主要是f的学位认证是理科，af是文科，纯f会不会更有竞争力回国更好认证啊（毕竟专业名字简单） ,,无,无,无,2023-07-01 15:49,微博网页版,4,0,2
N7GcHgYze,【英国申请】学生：大家好，想请教一下，本科是末流985的日语专业，辅修的金融，未来想去英国读至少qs前100的学校的金融方面专业，想问下如果这样，学校会不会因为学的辅修而挑剔呀（但是核心课程基本都包括了），另外是不是主修也要达到88+左右才比较可靠（因为我现在主修分数还差点），想听听大家的建议，谢谢大家！ ,,无,无,无,2023-06-30 12:20,微博网页版,4,0,3
N7Gb1cUmY,【英国美国Offer】学生：博主您好 能否帮我发起选校! 近期收到了南加州的mpp，之前一直打算去南安的mpa的。主要是考虑一个费用贵35w左右，还有就是qs排名因为最后不管怎么样都是毕业回国工作。另外就是现在时间太晚了，签证和租房有点焦虑                南安普顿mpa vs 南加州mpp 十分感谢 http://t.cn/A6p17ACV ,,无,无,无,2023-06-30 12:16,微博网页版,179,0,1
N7Gaze7sd,【爱丁堡选Offer】学生：叔您好，想请帮忙发个选专业建议。都是Edinburgh，一个是Language and Intercultural Communication Msc，一个是Language Education Msc。我本科是汉语言方向，现在做了一年语文老师，以后大体的路还是深耕教育，留学是为了考去国际学校当双语老师。不过也愿意以后有更多的职业选择～纠结的点在于专业的专精度和声誉的问题。感谢！ ,,无,无,无,2023-06-30 12:15,微博网页版,3,0,1
N7xh6FLSt,【英国博士Offer】学生：老师您好，今天收到了威敏人文学科的phd offer，有一个关于奖学金的问题想听听大家的意见。最近收到了学院的奖学金通知，学费免除三年的home rate，自费补齐国际学生差额，然后提供三年补助，每年18622磅。因为还需要补学费差额，所以我目前还有些犹豫，不知道大家觉得这个offer是否值得接呢？谢谢大家的建议 原图 ,,https://wx4.sinaimg.cn/large/6cbca238gy1hff191e4jcj20vs0b079o.jpg,无,无,2023-06-29 13:36,微博网页版,2,0,3
N7xenEuJZ,【博士Offer】学生：叔，报下申请季结果和选择23PhD只随缘申了两个项目，都拿了offer剑桥 Social Anthropology曼大 Chinese Study同一份研究计划，导师都是人类学背景，base的院系之差。funding情况，曼大给了AHRC全奖，剑桥自费。已经接了曼大。自费phd压力还是太大，不考虑了。看下有无小伙伴一起的，曼城见 ,,无,无,无,2023-06-29 13:29,微博网页版,34,1,10
N7pxigDH3,【英国Offer】学生：大家好，我想询问一下该怎么选：南安普顿 Master of Public Administration (MPA)//利兹 Global Political Economy MA //谢菲尔德 金融与商业经济学  MSc Business Finance and EconomicBG：双非一本 本科专业：经济学 语言6.5（6） GPA3.5/5  未来想回国就业  就业方向主要是证券银行投行 http://t.cn/A6pmW7UR ,,无,无,无,2023-06-28 17:54,微博网页版,218,0,2
N7pnA8mye,【英国Offer】学生：您好，前段时间IC又下了个OFFER，想麻烦您帮我发个选校让大家帮忙看看IC：MRes Biomedical ResearchUCL: MSc Neuroscience本来其实申请的IC是Experimental Neuroscience，但是因为“竞争激烈”被模板拒了大四一年都是跟着导师做的Neuro方面的项目，想着这一块可能更熟悉一些，而且对neuro也更感兴趣一些，毕竟考虑biomedical可能是更general的东西。但是考虑到学校和研究型授课型方面又觉得IC这个专业好像又更占优势...自己也有像接着往下读phd的小幻想，感觉mres可能申的话会比授课型更占优势一些吧。但是ucl的neuro又挺强的...很难放弃...想让大家帮我拿拿主意给点建议，如果有相关经历/就读体验的uu也可以踢踢我！！感谢大家！！！ http://t.cn/A6pm0gRp ,,无,无,无,2023-06-28 17:30,微博网页版,168,1,8
N7o2mvShW,【英国Offer】学生：叔，要交留位费了有点纠结offer。利兹：digital information management and systems innovation 数字信息管理和系统创新伯明翰：business analytics商业分析纠结原因：利兹听起来和信管相关，就业情况未知。利兹排名又涨了，但商业分析算是目前很热门的专业。 http://t.cn/A6pmcio6 ,,无,无,无,2023-06-28 14:05,微博网页版,153,0,1
N7nZWn7LI,发现个有意思的点，QS世界排名其实和绝大多数网友没有任何实质利益关系，所以网友说话各种不屑，甚至教你应该怎么去正确的看待大学排名这回事。但我这里有些真正会被QS排名影响的出国学生，什么都不会多说，就像是选谢菲还是诺丁汉的问题，已经开始在问怎么换学校，换申请方案，换宿舍了。人只有影响到自己利益了，说话才是最真实的。#北京大学QS排名第17# ,,无,无,无,2023-06-28 13:59,微博搜索,771,15,85
N7kjHA73H,【英国Offer】学生：叔，看完24排名后睡不着了，所以来想想问一下选校的投票。华威的 PPM。（等成绩换uncon)和ANU的的financial management（uncon 7.1 accept 的ddl)打算读完一年就回来就业，现在其实还没有明确的就业目标。bg 中外合作会计 65 一段银行一段事务所一段企业财务 [老师好] http://t.cn/A6pnmBAM ,,无,无,无,2023-06-28 04:37,微博网页版,526,1,10
N7iw42fK0,#2024QS世界大学排名#还有几个小时就发布了，英国这边有悬念的应该就是诺丁汉， 谢菲尔德，纽卡斯尔这三家了，其它大差不差，升一点，降一点，不会有本质区别。当然也不少人对QS排名不屑的，觉得是留学中介营销炒起来的，其实QS以前也没这么多人关注，和Times世界排名平分秋色，但你架不住QS开始和国内部分城市落户，人才引进，考公等很现实的考虑挂钩，不同地区出台了卡QS世界排名的政策，主要是前200和前100的划分，所以关注度才会这么高，大家都是务实和趋利避害的，没办法做到像英国人那样不在乎排名，所以定校方案才会在QS，城市和专业里面选个平衡点，只要政策继续存在，QS的关注度就不会降低。 ,,无,无,无,2023-06-28 00:02,iPhone 13 Pro Max,251,16,28
N7dyvikvc,【荷兰申请】学生：大家好，我想问下关于阿姆斯特丹大学offer延期的事情。我几个月之前拿到了offer，在系统里decision的选项那里选了defer to the next year，我以为这样学校就默认将offer延期到下一年了。但是后续我又继续收到了阿大发来的几封registration提醒邮件，直到最近也还有收到。想问下这样的情况是正常的吗？阿大defer offer的话，除了在系统中点击之外，还需要进行其他的操作吗？ 原图 ,,https://wx1.sinaimg.cn/large/6cbca238gy1hfcm70iqmkj20w10bugrp.jpg,无,无,2023-06-27 11:24,微博网页版,2,0,1
